caminho_original;nome_original;nome_proposto;raiz;confianca;tipo;numero;orgao;data;suspeito
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_519.pdf;empenho_DETRAN_view_519.pdf;CONTRATO_302012_DETRAN_2014-01-02_af5587.pdf;SPCF_EXTRACAO;0.85;CONTRATO;30/2012;DETRAN;2014-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_621.pdf;empenho_DETRAN_view_621.pdf;CONTRATO_DETRAN_2014-11-26_e17d4e.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2014-11-26;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_623.pdf;empenho_DETRAN_view_623.pdf;CONTRATO_DETRAN_2014-11-26_b40956.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2014-11-26;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_636.pdf;empenho_DETRAN_view_636.pdf;CONTRATO_DETRAN_2015-01-05_a27f9c.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2015-01-05;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_624.pdf;empenho_DETRAN_view_624.pdf;CONTRATO_DETRAN_2014-11-28_228756.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2014-11-28;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_637.pdf;empenho_DETRAN_view_637.pdf;CONTRATO_DETRAN_2015-01-05_15a397.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2015-01-05;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_625.pdf;empenho_DETRAN_view_625.pdf;CONTRATO_DETRAN_2014-11-28_72cfd3.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2014-11-28;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_640.pdf;empenho_DETRAN_view_640.pdf;CONTRATO_DETRAN_2015-01-05_2f7642.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2015-01-05;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_635.pdf;empenho_DETRAN_view_635.pdf;CONTRATO_DETRAN_2015-01-05_8541a8.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2015-01-05;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_626.pdf;empenho_DETRAN_view_626.pdf;CONTRATO_DETRAN_2014-11-28_6d09fb.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2014-11-28;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_639.pdf;empenho_DETRAN_view_639.pdf;CONTRATO_DETRAN_2015-01-05_5f7d41.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2015-01-05;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_643.pdf;empenho_DETRAN_view_643.pdf;CONTRATO_DETRAN_2015-01-05_37e29f.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2015-01-05;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_641.pdf;empenho_DETRAN_view_641.pdf;CONTRATO_DETRAN_2015-01-05_7450f1.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2015-01-05;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_659.pdf;empenho_DETRAN_view_659.pdf;CONTRATO_DETRAN_2015-01-05_085473.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2015-01-05;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_8247.pdf;empenho_DETRAN_view_8247.pdf;TA_062017_DETRAN_2017-06-30_db70d5.pdf;SPCF_EXTRACAO;0.85;TA;06/2017;DETRAN;2017-06-30;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_8266.pdf;empenho_DETRAN_view_8266.pdf;TA_072017_DETRAN_2017-07-12_b0c4dd.pdf;SPCF_EXTRACAO;0.85;TA;07/2017;DETRAN;2017-07-12;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_8402.pdf;empenho_DETRAN_view_8402.pdf;TA_082017_DETRAN_2017-08-11_494bf2.pdf;SPCF_EXTRACAO;0.85;TA;08/2017;DETRAN;2017-08-11;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_8250.pdf;empenho_DETRAN_view_8250.pdf;TA_062017_DETRAN_2017-06-30_a403e3.pdf;SPCF_EXTRACAO;0.85;TA;06/2017;DETRAN;2017-06-30;0
