id;fontes;contrato;comp;emissao;venc_est;valor;situacao;prescrita;exigivel;tem_db;empenhos_qtd
16008;GERAL;;07/2020;31/07/2020;2020-08-30;131871,28;Paga;SIM;NAO;NAO;0
16305;GERAL;;08/2020;25/08/2020;2020-09-24;138485,12;Paga;SIM;NAO;NAO;0
16306;GERAL;;08/2020;25/08/2020;2020-09-24;22858,60;Paga;SIM;NAO;NAO;0
16304;GERAL;;08/2020;25/08/2020;2020-09-24;120590,00;Paga;SIM;NAO;NAO;0
16352;GERAL;;08/2020;28/08/2020;2020-09-27;131871,28;Paga;SIM;NAO;NAO;0
16769;GERAL;;09/2020;28/09/2020;2020-10-28;120590,00;Paga;SIM;NAO;NAO;0
16771;GERAL;;09/2020;28/09/2020;2020-10-28;131871,28;Paga;SIM;NAO;NAO;0
16770;GERAL;;09/2020;28/09/2020;2020-10-28;22858,60;Paga;SIM;NAO;NAO;0
16768;GERAL;;09/2020;28/09/2020;2020-10-28;138485,12;Paga;SIM;NAO;NAO;0
17337;GERAL;;10/2020;27/10/2020;2020-11-26;138485,12;Paga;SIM;NAO;NAO;0
17338;GERAL;;10/2020;27/10/2020;2020-11-26;22858,60;Paga;SIM;NAO;NAO;0
17336;GERAL;;10/2020;27/10/2020;2020-11-26;120590,00;Paga;SIM;NAO;NAO;0
17434;GERAL;;10/2020;29/10/2020;2020-11-28;113634,76;Paga;SIM;NAO;NAO;0
17860;GERAL;;11/2020;25/11/2020;2020-12-25;138485,12;Paga;SIM;NAO;NAO;0
17859;GERAL;;11/2020;25/11/2020;2020-12-25;120590,00;Paga;SIM;NAO;NAO;0
17861;GERAL;;11/2020;25/11/2020;2020-12-25;22858,60;Paga;SIM;NAO;NAO;0
17934;GERAL;;11/2020;26/11/2020;2020-12-26;103756,46;Paga;SIM;NAO;NAO;0
